# 92-U-235(n,thermal chi) ENDF/B-VII.1
3.300000000000000000e+04,1.119214393929998397e-07
3.400000000000000000e+04,1.135786108407866638e-07
3.500000000000000000e+04,1.152001441929221486e-07
3.600000000000000000e+04,1.168038584972319570e-07
3.700000000000000000e+04,1.183897537537161288e-07
3.800000000000000000e+04,1.199400109145489481e-07
3.900000000000000000e+04,1.214724490275561043e-07
4.000000000000000000e+04,1.229870680927376106e-07
4.100000000000000000e+04,1.244838681100934406e-07
4.200000000000000000e+04,1.259628490796236208e-07
4.300000000000000000e+04,1.274240110013280983e-07
4.400000000000000000e+04,1.288495348273812760e-07
4.500000000000000000e+04,1.302750586534344538e-07
4.600000000000000000e+04,1.316827634316619553e-07
4.700000000000000000e+04,1.330726491620638069e-07
4.800000000000000000e+04,1.344268967968143324e-07
4.900000000000000000e+04,1.357811444315648579e-07
5.000000000000000000e+04,1.371353920663153569e-07
5.100000000000000000e+04,1.384540016054145563e-07
5.200000000000000000e+04,1.397726111445137291e-07
5.300000000000000000e+04,1.410555825879616024e-07
5.400000000000000000e+04,1.423563730792350990e-07
5.500000000000000000e+04,1.436215254748572959e-07
5.600000000000000000e+04,1.448688588226538430e-07
5.700000000000000000e+04,1.461161921704503636e-07
5.800000000000000000e+04,1.473635255182468842e-07
5.900000000000000000e+04,1.485752207703920787e-07
6.000000000000000000e+04,1.497869160225372996e-07
6.100000000000000000e+04,1.509807922268568178e-07
6.200000000000000000e+04,1.521746684311763360e-07
6.300000000000000000e+04,1.533507255876702043e-07
6.400000000000000000e+04,1.545267827441640727e-07
6.500000000000000000e+04,1.556850208528322912e-07
6.600000000000000000e+04,1.568254399136748334e-07
6.700000000000000000e+04,1.579658589745173756e-07
6.800000000000000000e+04,1.590884589875342415e-07
6.900000000000000000e+04,1.602110590005511339e-07
7.000000000000000000e+04,1.613158399657423235e-07
7.100000000000000000e+04,1.624206209309335396e-07
7.200000000000000000e+04,1.635075828482990794e-07
7.300000000000000000e+04,1.645945447656646192e-07
7.400000000000000000e+04,1.656636876352045091e-07
7.500000000000000000e+04,1.667328305047443990e-07
7.600000000000000000e+04,1.677841543264586127e-07
7.700000000000000000e+04,1.688354781481728263e-07
7.800000000000000000e+04,1.698689829220613636e-07
7.900000000000000000e+04,1.709024876959499275e-07
8.000000000000000000e+04,1.719359924698384648e-07
8.100000000000000000e+04,1.729516781959013523e-07
8.200000000000000000e+04,1.739673639219642663e-07
8.300000000000000000e+04,1.749652306002014775e-07
8.400000000000000000e+04,1.759630972784386887e-07
8.500000000000000000e+04,1.769609639566759263e-07
8.600000000000000000e+04,1.779410115870874877e-07
8.700000000000000000e+04,1.789032401696733728e-07
8.800000000000000000e+04,1.799723830392132362e-07
8.900000000000000000e+04,1.808633354304964690e-07
9.000000000000000000e+04,1.817542878217797018e-07
9.100000000000000000e+04,1.828234306913195918e-07
9.200000000000000000e+04,1.837143830826028246e-07
9.300000000000000000e+04,1.846053354738860574e-07
9.400000000000000000e+04,1.854962878651692902e-07
9.500000000000000000e+04,1.865654307347091801e-07
9.600000000000000000e+04,1.874563831259924129e-07
9.700000000000000000e+04,1.883473355172756457e-07
9.800000000000000000e+04,1.892382879085588785e-07
9.900000000000000000e+04,1.901292402998421113e-07
1.000000000000000000e+05,1.910201926911253441e-07
1.100000000000000000e+05,1.997515261257010413e-07
1.200000000000000000e+05,2.079482881255067936e-07
1.300000000000000000e+05,2.156104786905426010e-07
1.400000000000000000e+05,2.230944787773217511e-07
1.500000000000000000e+05,2.300439074293309828e-07
1.600000000000000000e+05,2.368151456030835838e-07
1.700000000000000000e+05,2.432300028203228705e-07
1.800000000000000000e+05,2.492884790810488429e-07
1.900000000000000000e+05,2.551687648635182112e-07
2.000000000000000000e+05,2.606926696894742651e-07
2.100000000000000000e+05,2.662165745154302660e-07
2.200000000000000000e+05,2.713840983848730586e-07
2.300000000000000000e+05,2.763734317760591940e-07
2.400000000000000000e+05,2.811845746889886193e-07
2.500000000000000000e+05,2.856393366454047833e-07
2.600000000000000000e+05,2.900940986018209473e-07
2.700000000000000000e+05,2.943706700799805071e-07
2.800000000000000000e+05,2.984690510798833567e-07
2.900000000000000000e+05,3.023892416015295493e-07
3.000000000000000000e+05,3.063094321231757947e-07
3.100000000000000000e+05,3.098732416883087259e-07
3.200000000000000000e+05,3.134370512534417100e-07
3.300000000000000000e+05,3.168226703403179841e-07
3.400000000000000000e+05,3.200300989489376009e-07
3.500000000000000000e+05,3.230593370793006136e-07
3.600000000000000000e+05,3.260885752096635734e-07
3.700000000000000000e+05,3.289396228617699289e-07
3.800000000000000000e+05,3.316124800356196802e-07
3.900000000000000000e+05,3.342853372094693786e-07
4.000000000000000000e+05,3.367800039050624198e-07
4.100000000000000000e+05,3.392746706006554611e-07
4.200000000000000000e+05,3.415911468179918452e-07
4.300000000000000000e+05,3.437294325570716250e-07
4.400000000000000000e+05,3.458677182961514049e-07
4.500000000000000000e+05,3.476496230787178705e-07
4.600000000000000000e+05,3.494315278612843361e-07
4.700000000000000000e+05,3.512134326438508017e-07
4.800000000000000000e+05,3.528171469481606101e-07
4.900000000000000000e+05,3.542426707742138144e-07
5.000000000000000000e+05,3.556681946002669657e-07
5.100000000000000000e+05,3.569155279480635128e-07
5.200000000000000000e+05,3.581628612958600598e-07
5.300000000000000000e+05,3.594101946436565540e-07
5.400000000000000000e+05,3.604793375131963910e-07
