92-U-238(n,total) ENDF/B-VII.1
275.589,18.8511
275.797,17.2776
276.328,15.9333
277.577,14.5677
279.85,13.4745
281.749,13.0147
282.037,13.4742
282.421,15.1357
282.457,15.1598
282.659,14.505
282.948,13.0817
283.178,12.696
285.206,12.2118
285.622,12.2793
288.376,10.9218
289.271,10.029
290.016,8.76001
290.116,9.03111
290.178,9.73005
290.228,10.8959
290.272,12.6886
290.308,14.8804
290.344,17.9826
290.379,22.2651
290.415,28.0371
290.454,36.5089
290.494,47.6499
290.535,62.7091
290.582,84.5941
290.641,119.262
290.721,177.394
290.867,294.418
290.95,342.231
291.025,360.458
291.036,360.74
291.104,349.065
291.178,313.397
291.309,217.139
291.408,144.751
291.477,104.782
291.533,79.4592
291.582,62.2827
291.632,49.4691
291.682,40.214
291.732,33.7012
291.794,28.3167
291.856,24.9563
291.93,22.5027
292.055,20.2851
292.293,18.244
292.692,16.5751
293.357,15.2465
294.164,14.7294
295.175,13.8906
299.2,12.9763
307.268,12.2615
307.962,12.4963
309.201,12.0739
310.466,11.8936
310.635,12.2457
310.736,13.007
310.824,14.3456
310.911,16.5844
311.016,20.5466
311.213,29.5083
311.313,32.2825
311.366,32.68
311.447,31.7469
311.546,28.5258
311.75,19.6951
311.859,16.2899
311.951,14.4936
312.053,13.399
312.172,12.8097
312.332,12.5242
314.097,12.0928
321.74,11.5928
322.333,11.8419
322.641,12.105
323.409,11.4995
331.304,10.8897
331.741,11.2085
332.079,11.6302
332.754,10.7626
336.412,10.2059
336.711,10.3402
337.022,11.183
337.273,11.7756
337.278,11.7759
337.506,11.2555
337.818,10.1898
338.279,9.80244
341.412,8.7171
343.232,7.5591
344.243,6.53427
345.128,5.23387
346.171,3.22225
346.341,3.05101
346.379,3.04628
346.493,3.1665
346.569,3.43157
346.632,3.85575
346.683,4.41193
346.733,5.27052
346.777,6.3839
346.818,7.90099
346.856,9.84712
346.892,12.3385
346.924,15.314
346.961,19.8839
346.998,26.0399
347.033,33.7077
347.068,43.9354
347.104,57.1656
347.144,76.6394
347.182,100.237
347.226,135.489
347.272,181.85
347.322,246.926
347.383,345.182
347.459,497.666
347.661,970.704
347.752,1127.45
347.835,1190.28
347.85,1192.06
347.924,1157.49
347.994,1063.79
348.117,812.2
348.257,503.563
348.337,361.264
348.4,272.631
348.457,210.826
348.514,164.003
348.571,129.521
348.621,107.016
348.682,87.5738
348.753,72.208
348.824,61.9595
348.907,53.8438
349.033,45.97
349.191,39.7661
349.406,34.3312
349.691,29.7385
350.032,26.2056
350.492,23.1752
350.956,21.1872
351.295,20.3468
351.401,20.3427
351.913,22.163
352.117,21.2937
